x_axis,mean_cumulated_mixed_spectral_ucrl_regret,lower_bound_mixed,upper_bound_mixed,mean_cumulated_seeu_regret,lower_bound_seeu,upper_bound_seeu,mean_cumulated_smucrl_regret,lower_bound_smucrl,upper_bound_smucrl
2.64,0.933393333333277,1.0190069748632902,0.8477796918032638,1.9272799999997399,2.039096286043645,1.8154637139558347,2.3237933333343523,2.4985773755521694,2.1490092911165353
2.66,0.9378466666666081,1.025042847465754,0.8506504858674622,1.940906666666438,2.0527308627279015,1.8290824706049744,2.3433066666677513,2.517396818366069,2.169216514969434
2.68,0.9418399999999386,1.0292217383110396,0.8544582616888378,1.9549866666664701,2.0669043971836367,1.8430689361493033,2.3631200000011487,2.5371678516490115,2.1890721483532865
2.7,0.9451933333332687,1.0335043952988072,0.85688227136773,1.9676599999998383,2.079994640993293,1.8553253590063838,2.3825933333345506,2.556507209921192,2.2086794567479098
2.72,0.9504666666665982,1.0390434848547123,0.861889848478484,1.9831599999998761,2.0959254170611583,1.870394582938594,2.4025133333346194,2.576828848419226,2.228197818250013
2.74,0.9566866666665952,1.044744588300727,0.8686287450324635,1.997766666666576,2.1108309403782997,1.8847023929548525,2.4244733333346846,2.597409374389213,2.251537292280156
2.76,0.9594933333332585,1.0490779669158166,0.8699086997507004,2.009719999999943,2.1227614549361706,1.8966785450637151,2.4416000000014133,2.6143239858601683,2.2688760141426583
2.78,0.963026666666589,1.054366545868366,0.871686787464812,2.0234133333333095,2.1373482144451232,1.9094784522214958,2.4624400000014792,2.6350078182441714,2.2898721817587875
2.8,0.9658133333332541,1.058217575298234,0.8734090913682745,2.0354400000000092,2.150651918956445,1.9202280810435735,2.48151333333488,2.653925026647378,2.3091016400223814
2.82,0.9702266666665847,1.063039440553155,0.8774138927800146,2.0498266666667138,2.165762319664682,1.9338910136687453,2.500760000001613,2.6726783871135558,2.3288416128896703
2.84,0.9736933333332488,1.067683028667159,0.8797036379993387,2.0639466666667468,2.181823186463679,1.9460701468698145,2.5205866666683456,2.6924998243117972,2.348673509024894
2.86,0.9761866666665783,1.0716624333415143,0.8807108999916421,2.0778733333334496,2.197356912264214,1.9583897544026847,2.539380000001743,2.712211539362983,2.3665484606405025
2.88,0.9803666666665743,1.0775797208781563,0.8831536124549925,2.0924133333334836,2.2138454387234465,1.9709812279435202,2.5597666666684726,2.7313529640336407,2.3881803693033046
2.9,0.9836333333332368,1.080944646441878,0.8863220202245957,2.1062000000001837,2.22872128962005,1.9836787103803177,2.5794533333352003,2.7507245370357145,2.408182129634686
2.92,0.9881399999998993,1.0862721067726835,0.8900078932271154,2.120566666666886,2.244356594725705,1.9967767386080664,2.5996333333352637,2.7710588377877996,2.4282078288827282
2.94,0.991826666666562,1.0925450124515086,0.8911083208816155,2.1342133333335847,2.2597982454073295,2.0086284212598393,2.617293333335329,2.788335993901737,2.4462506727689215
2.96,0.9952733333332245,1.0975872580595594,0.8929594086068899,2.146966666666951,2.2747211854413663,2.0192121478925356,2.6355266666687256,2.8069720320710205,2.4640813012664307
2.98,0.9987933333332217,1.1028118785462735,0.89477478812017,2.1601133333336513,2.28980867445079,2.030417992216512,2.654393333335445,2.8252597369801946,2.483526929690695
3.0,1.0045266666665502,1.111075035905572,0.8979782974275283,2.174326666667019,2.3057536496074698,2.042899683726569,2.673880000002135,2.8455387318615593,2.502221268142711
3.02,1.0052933333332137,1.113278114344681,0.8973085523217463,2.18801333333372,2.3210189385661235,2.055007728101316,2.6908933333354943,2.8627148085210052,2.519071858149984
3.04,1.0090933333332102,1.11786374403135,0.9003229226350703,2.2095000000004257,2.3429699950380236,2.0760300049628277,2.7091200000021876,2.8807145359422126,2.5375254640621625
3.06,1.0129533333332057,1.1237725786115016,0.9021340880549096,2.2308400000004656,2.3639652618412437,2.097714738159687,2.7295066666688808,2.902128019826415,2.556885313511346
3.08,1.0181133333332006,1.1296608153700451,0.9065658512963563,2.2531600000005043,2.385982554481053,2.1203374455199557,2.7510466666689064,2.9232541220877812,2.578839211250031
3.1,1.0219333333331921,1.1348444762719445,0.9090221903944395,2.273346666667212,2.406025225531771,2.1406681078026537,2.7709466666689297,2.942076310522802,2.599817022815057
3.12,1.0282266666665165,1.1433382172101791,0.9131151161228539,2.2905400000005836,2.4233753266289026,2.157704673372265,2.7908666666689492,2.9623580487273533,2.619375284610545
3.14,1.032213333333175,1.1485559385428479,0.9158707281235021,2.298473333333944,2.432010769957242,2.164935896710646,2.8106333333356393,2.9814534474745034,2.6398132191967756
